페이지	키워드	제목	URL
1	PS5	에이치투 인터렉티브 '휴먼: 폴 플랫' PS5 한국어 번역판 정식 출시 및 유튜브 이벤트 진행	
1	PS5	H2 인터렉티브, ‘휴먼: 폴 플랫’ PS5 한국어판 출시 및 유튜브 이벤트 진행	
1	PS5	커벌 스페이스 프로그램 10주년 기념, PS5, Xbox Series XIS으로 출시 발표	
1	PS5	신작 에일리언 게임, 에일리언 파이어팀 엘리트, 출시일 8월 24일 확정	
1	PS5	[콘솔] ‘휴먼: 폴 플랫’ PS5 한국어판 정식 출시 및 유튜브 이벤트 진행	https://sports.news.naver.com/news.nhn?oid=442&aid=0000136136
1	PS5	[콘솔] 에이리언 파이어팀 엘리트, 8월에 찾아옵니다	
1	PS5	[콘솔] 브레인 펑크 액션 RPG SCARLET STRINGS(스칼렛 스트링스) 출시	
1	PS5	[이슈] 보더랜드3, 크로스플레이 플랫폼 확대…엑스박스 추가 지원	https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=347&aid=0000154244
1	PS5	'커벌 스페이스 프로그램' 10주년 기념, PS5, Xbox 시리즈 X와S으로 출시 발표	
1	PS5	[콘솔] 스나이퍼 고스트 워리어 컨트랙트 2, 8월 25일 출시	
