페이지	키워드	제목	URL
1	XBOX	미국 IT [빅5] 동향: 클라우드를 중심으로	
1	XBOX	AMD, 엑스박스 게임 개발 키트 및 도타 2에 '피델리티FX 슈퍼 해상도' 기술 지원	
1	XBOX	커벌 스페이스 프로그램 10주년 기념, PS5, Xbox Series XIS으로 출시 발표	
1	XBOX	신작 에일리언 게임, 에일리언 파이어팀 엘리트, 출시일 8월 24일 확정	
1	XBOX	[콘솔] 브레인 펑크 액션 RPG SCARLET STRINGS(스칼렛 스트링스) 출시	
1	XBOX	인섬니악, 멀티플레이 게임 개발에 나선다	https://sports.news.naver.com/news.nhn?oid=442&aid=0000136128
1	XBOX	'커벌 스페이스 프로그램' 10주년 기념, PS5, Xbox 시리즈 X와S으로 출시 발표	
1	XBOX	'윈도11' 연내 출시, PC용 OS 이미지 탈피··· 윈도10에서 무료 업그레이드	https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=138&aid=0002105722
1	XBOX	[콘솔] 커벌 스페이스 프로그램 10주년, PS5, Xbox Series XIS으로 출시 발표	https://sports.news.naver.com/news.nhn?oid=442&aid=0000136113
1	XBOX	마이크로소프트, 윈도우 11 발표…구글 안드로이드용 앱 최초 지원	
