페이지	키워드	제목	URL
1	닌텐도스위치	겅호 온라인 Nintendo Switch 대전 닌자 껌 액션 게임 'Ninjala' 1주년 기념 방송 공개	
1	닌텐도스위치	'몬스터헌터 스토리즈2', 닌텐도 스위치 체험판 배포 개시	
1	닌텐도스위치	닌텐도 스위치, 몬스터헌터 스토리즈 2 파멸의 날개 예약판매 시작	
1	닌텐도스위치	스퀘어에닉스 '성검전설 레전드 오브 마나' 발매	
1	닌텐도스위치	몬헌 스토리즈 2, 오픈월드 택하지 않은 이유는 '스토리 집중'	https://sports.news.naver.com/news.nhn?oid=356&aid=0000047946
1	닌텐도스위치	몬스터헌터 스토리즈2, 전작으로부터 5년만에 출시한 이유	
1	닌텐도스위치	원작 감성의 충실한 재현, ‘라스트 키즈 온 어스’	
1	닌텐도스위치	게임피아 '영웅전설 섬의 궤적I' 내달 스위치 발매	
1	닌텐도스위치	세가 '목장이야기' 익스팬션 패스 4탄 배포	
1	닌텐도스위치	세가, 니폰이치 '나쁜 왕과 훌륭한 용사' PS4 및 닌텐도스위치 버전 9월 30일 발매	
